Title,Volume,Issues,Publisher,Author_1,Author_2,Artist_1,Artist_2,Image
The Authority: Relentless,1,The Authority #1-8,Wildstorm,Warren Ellis,,Bryan Hitch,,https://s3.amazonaws.com/comicgeeks/comics/covers/large-6196731.jpg?1710173881
The Authority: Under New Management,2,The Authority #9-16,Wildstorm,Warren Ellis,Mark Millar,Bryan Hitch,Frank Quitely,https://s3.amazonaws.com/comicgeeks/comics/covers/large-4510989.jpg?1725329035
The Authority: Earth Inferno and Other Stories,3,"The Authority #17-20, The Authority Annual 2000 and Wildstorm Summer Special #1",Wildstorm,Mark Millar,,Frank Quitely,Chris Weston,https://s3.amazonaws.com/comicgeeks/comics/covers/large-1820805.jpg?1764171642
The Authority: Transfer of Power,4,The Authority #22-29,Wildstorm,Mark Millar,Tom Peyer,Frank Quitely,Dustin Nguyen,https://s3.amazonaws.com/comicgeeks/comics/covers/large-6399279.jpg?1710798702
The Authority: Harsh Realities,5,The Authority #0-5,Wildstorm,Robbie Morrison,,Dwayne Turner,Sal Regla,https://s3.amazonaws.com/comicgeeks/comics/covers/large-3776908.jpg?1725329291
The Authority: Fractured Worlds,6,The Authority #6-14,Wildstorm,Robbie Morrison,,Dwayne Turner,Whilce Portacio,https://static.dc.com/dc/files/default_images/2498_400x600.jpg
The Authority: Revolution Book 1,7,The Authority: Revolution #1-6,Wildstorm,Ed Brubaker,,Dustin Nguyen,Richard Friend,https://static.dc.com/dc/files/default_images/4050_400x600.jpg
The Authority: Revolution Book 2,8,The Authority: Revolution #6-12,Wildstorm,Ed Brubaker,,Dustin Nguyen,Richard Friend,https://s3.amazonaws.com/comicgeeks/comics/covers/large-2909189.jpg?1741810065
The Authority: World's End,9,The Authority #1-7,Wildstorm,Dan Abnett,Andy Lanning,Simone Coleby,Carrie Strachan,https://s3.amazonaws.com/comicgeeks/comics/covers/large-2579940.jpg?1737929951
Avengers Disassembled,,"Avengers #500-503, Avengers Finale",Marvel,Brian Michael Bendis,,David Finch,Danny Miki,https://s3.amazonaws.com/comicgeeks/comics/covers/large-3761564.jpg?1783810589
